is_client_new;is_clientfinalta_active;y;type;region;source;was_closed_at_contact;tenure_days;day;month;campaign;age;credit_amount;credite_active;deposit_active;deposit_amount
0;1;0;ММБ; Краснодар;Онлайн;0;780.0;15;3;6;33;0;N;Y;0
0;0;0;ММБ; Химки;Онлайн;0;781.0;15;3;15;32;0;N;Y;0
0;1;0;ММБ; Калининград;Партнер;0;933.0;14;8;7;47;0;N;Y;0
0;1;0;ММБ; Краснодар;unknown;0;773.0;15;3;5;44;0;N;Y;0
0;1;0;ММБ; Тольятти;Партнер;0;834.0;15;5;3;36;0;N;Y;0
1;0;0;ММБ;" Москва Тер-рия ""Юг""";Онлайн;0;926.0;14;8;11;38;0;N;Y;600000
0;1;0;ММБ;Другое;unknown;0;801.0;11;4;10;45;0;N;Y;0
0;1;0;ММБ; Уфа;Партнер;0;927.0;16;8;8;54;0;N;Y;0
0;1;0;ММБ;" Санкт-Петербург Тер-рия ""Юг""";Онлайн;0;906.0;2;8;3;42;0;N;Y;0
0;1;0;ММБ; Барнаул;Партнер;0;910.0;2;8;8;32;0;N;Y;0
0;1;0;ММБ; Пермь;Партнер;0;883.0;6;7;3;49;0;N;Y;0
0;1;0;ММБ; Красногорск;Отделение;0;748.0;21;2;8;38;0;N;Y;0
0;1;0;ММБ;Другое;unknown;0;796.0;11;4;12;44;0;N;Y;0
0;1;0;ММБ; Барнаул;unknown;0;921.0;14;8;16;36;0;N;Y;0
0;1;0;ММБ; Балашиха;Отделение;0;893.0;18;7;9;36;0;N;Y;6000000
0;1;0;ММБ; Химки;Онлайн;0;808.0;25;4;4;40;0;N;Y;0
0;1;0;ММБ; Волгоград;Онлайн;0;743.0;13;2;5;37;0;N;Y;0
0;1;0;ММБ;Другое;unknown;0;1109.0;25;12;15;42;0;N;Y;0
0;0;0;ММБ; Мытищи;unknown;0;981.0;14;8;5;24;0;N;Y;0
0;1;0;ММБ; Балашиха;Онлайн;0;804.0;21;2;4;37;0;N;Y;0
0;0;0;ММБ; Оренбург;unknown;0;924.0;12;6;12;51;0;N;Y;0
0;1;0;ММБ;" Москва Тер-рия ""Юг""";Отделение;0;1005.0;11;9;7;46;0;N;Y;0
1;1;1;ММБ;" Москва Тер-рия ""Центр""";Онлайн;0;976.0;14;8;203;38;0;N;Y;0
